1	9	1	0	1	0	0	1
1	9	1	0	1	0	0	2
1	9	1	0	1	1	0	1
1	9	1	0	1	1	0	2
1	9	1	0	1	2	0	1
1	9	1	0	1	2	0	2
1	9	1	0	2	0	0	1
1	9	1	0	2	0	0	2
1	9	1	0	2	1	0	1
1	9	1	0	2	1	0	2
1	9	1	0	2	2	0	1
1	9	1	0	2	2	0	2
1	9	1	0	3	0	0	1
1	9	1	0	3	0	0	2
1	9	1	0	3	1	0	1
1	9	1	0	3	1	0	2
1	9	1	0	3	2	0	1
1	9	1	0	3	2	0	2
1	9	1	0	4	0	0	1
1	9	1	0	4	0	0	2
1	9	1	0	4	1	0	1
1	9	1	0	4	1	0	2
1	9	1	0	4	2	0	1
1	9	1	0	4	2	0	2
1	9	2	1	1	0	0	1
1	9	2	1	1	0	0	2
1	9	2	1	1	1	0	1
1	9	2	1	1	1	0	2
1	9	2	1	1	2	0	1
1	9	2	1	1	2	0	2
1	9	2	1	2	0	0	1
1	9	2	1	2	0	0	2
1	9	2	1	2	1	0	1
1	9	2	1	2	1	0	2
1	9	2	1	2	2	0	1
1	9	2	1	2	2	0	2
1	9	2	1	3	0	0	1
1	9	2	1	3	0	0	2
1	9	2	1	3	1	0	1
1	9	2	1	3	1	0	2
1	9	2	1	3	2	0	1
1	9	2	1	3	2	0	2
1	9	2	1	4	0	0	1
1	9	2	1	4	0	0	2
1	9	2	1	4	1	0	1
1	9	2	1	4	1	0	2
1	9	2	1	4	2	0	1
1	9	2	1	4	2	0	2
1	9	17	0	0	0	0	1
1	9	17	0	0	0	0	2
1	9	17	0	0	1	0	1
1	9	17	0	0	1	0	2
1	9	17	0	0	2	0	1
1	9	17	0	0	2	0	2
1	9	18	1	0	0	0	1
1	9	18	1	0	0	0	2
1	9	18	1	0	1	0	1
1	9	18	1	0	1	0	2
1	9	18	1	0	2	0	1
1	9	18	1	0	2	0	2
1	9	25	0	0	0	0	1
1	9	25	0	0	0	0	2
1	9	25	0	0	1	0	1
1	9	25	0	0	1	0	2
1	9	25	0	0	2	0	1
1	9	25	0	0	2	0	2
1	10	1	1	1	0	0	1
1	10	1	1	1	0	0	2
1	10	1	1	1	1	0	1
1	10	1	1	1	1	0	2
1	10	1	1	1	2	0	1
1	10	1	1	1	2	0	2
1	10	1	1	2	0	0	1
1	10	1	1	2	0	0	2
1	10	1	1	2	1	0	1
1	10	1	1	2	1	0	2
1	10	1	1	2	2	0	1
1	10	1	1	2	2	0	2
1	10	1	1	3	0	0	1
1	10	1	1	3	0	0	2
1	10	1	1	3	1	0	1
1	10	1	1	3	1	0	2
1	10	1	1	3	2	0	1
1	10	1	1	3	2	0	2
1	10	1	1	4	0	0	1
1	10	1	1	4	0	0	2
1	10	1	1	4	1	0	1
1	10	1	1	4	1	0	2
1	10	1	1	4	2	0	1
1	10	1	1	4	2	0	2
1	10	2	0	1	0	0	1
1	10	2	0	1	0	0	2
1	10	2	0	1	1	0	1
1	10	2	0	1	1	0	2
1	10	2	0	1	2	0	1
1	10	2	0	1	2	0	2
1	10	2	0	2	0	0	1
1	10	2	0	2	0	0	2
1	10	2	0	2	1	0	1
1	10	2	0	2	1	0	2
1	10	2	0	2	2	0	1
1	10	2	0	2	2	0	2
1	10	2	0	3	0	0	1
1	10	2	0	3	0	0	2
1	10	2	0	3	1	0	1
1	10	2	0	3	1	0	2
1	10	2	0	3	2	0	1
1	10	2	0	3	2	0	2
1	10	2	0	4	0	0	1
1	10	2	0	4	0	0	2
1	10	2	0	4	1	0	1
1	10	2	0	4	1	0	2
1	10	2	0	4	2	0	1
1	10	2	0	4	2	0	2
1	10	3	1	1	0	0	1
1	10	3	1	1	0	0	2
1	10	3	1	1	1	0	1
1	10	3	1	1	1	0	2
1	10	3	1	1	2	0	1
1	10	3	1	1	2	0	2
1	10	3	1	2	0	0	1
1	10	3	1	2	0	0	2
1	10	3	1	2	1	0	1
1	10	3	1	2	1	0	2
1	10	3	1	2	2	0	1
1	10	3	1	2	2	0	2
1	10	3	1	3	0	0	1
1	10	3	1	3	0	0	2
1	10	3	1	3	1	0	1
1	10	3	1	3	1	0	2
1	10	3	1	3	2	0	1
1	10	3	1	3	2	0	2
1	10	3	1	4	0	0	1
1	10	3	1	4	0	0	2
1	10	3	1	4	1	0	1
1	10	3	1	4	1	0	2
1	10	3	1	4	2	0	1
1	10	3	1	4	2	0	2
1	10	17	1	0	0	0	1
1	10	17	1	0	0	0	2
1	10	17	1	0	1	0	1
1	10	17	1	0	1	0	2
1	10	17	1	0	2	0	1
1	10	17	1	0	2	0	2
1	10	18	0	0	0	0	1
1	10	18	0	0	0	0	2
1	10	18	0	0	1	0	1
1	10	18	0	0	1	0	2
1	10	18	0	0	2	0	1
1	10	18	0	0	2	0	2
1	10	19	1	0	0	0	1
1	10	19	1	0	0	0	2
1	10	19	1	0	1	0	1
1	10	19	1	0	1	0	2
1	10	19	1	0	2	0	1
1	10	19	1	0	2	0	2
1	10	26	0	0	0	0	1
